address,customer_id,email,first_name,last_name,phone_number
"123 Main St, Springfield, IL",1,jsmith1@customer.com,James,Smith,555-190-3233
"123 Main St, Springfield, IL",2,jjohnson2@customer.com,James,Johnson,555-525-8357
"123 Main St, Springfield, IL",3,jwilliams3@customer.com,James,Williams,555-933-4447
"123 Main St, Springfield, IL",4,jbrown4@customer.com,James,Brown,555-897-0326
"123 Main St, Springfield, IL",5,jjones5@customer.com,James,Jones,555-762-5836
"123 Main St, Springfield, IL",6,jgarcia6@customer.com,James,Garcia,555-582-5709
"123 Main St, Springfield, IL",7,jmiller7@customer.com,James,Miller,555-195-1985
"123 Main St, Springfield, IL",8,jdavis8@customer.com,James,Davis,555-416-2205
"123 Main St, Springfield, IL",9,jrodriguez9@customer.com,James,Rodriguez,555-880-8679
"123 Main St, Springfield, IL",10,jmartinez10@customer.com,James,Martinez,555-283-4564
"123 Main St, Springfield, IL",11,jhernandez11@customer.com,James,Hernandez,555-279-8494
"123 Main St, Springfield, IL",12,jlopez12@customer.com,James,Lopez,555-284-2248
"123 Main St, Springfield, IL",13,jgonzalez13@customer.com,James,Gonzalez,555-224-3907
"123 Main St, Springfield, IL",14,jwilson14@customer.com,James,Wilson,555-651-0888
"123 Main St, Springfield, IL",15,janderson15@customer.com,James,Anderson,555-928-1269
"123 Main St, Springfield, IL",16,jthomas16@customer.com,James,Thomas,555-764-7525
"123 Main St, Springfield, IL",17,jtaylor17@customer.com,James,Taylor,555-432-3796
"123 Main St, Springfield, IL",18,jmoore18@customer.com,James,Moore,555-585-8964
"123 Main St, Springfield, IL",19,jjackson19@customer.com,James,Jackson,555-981-0349
"123 Main St, Springfield, IL",20,jmartin20@customer.com,James,Martin,555-648-6689
"123 Main St, Springfield, IL",21,jpeter21@customer.com,James,Peter,555-298-7370
"123 Main St, Springfield, IL",22,jvictoria22@customer.com,James,Victoria,555-777-8852
"123 Main St, Springfield, IL",23,jraymond23@customer.com,James,Raymond,555-453-6709
"123 Main St, Springfield, IL",24,jjulia24@customer.com,James,Julia,555-366-5637
"123 Main St, Springfield, IL",25,jscott25@customer.com,James,Scott,555-181-1932
"123 Main St, Springfield, IL",26,jgrace26@customer.com,James,Grace,555-019-0071
"123 Main St, Springfield, IL",27,jdennis27@customer.com,James,Dennis,555-137-9377
"123 Main St, Springfield, IL",28,jevelyn28@customer.com,James,Evelyn,555-069-0197
"123 Main St, Springfield, IL",29,jgregory29@customer.com,James,Gregory,555-887-3481
"123 Main St, Springfield, IL",30,janna30@customer.com,James,Anna,555-563-7565
"123 Main St, Springfield, IL",31,jwalter31@customer.com,James,Walter,555-033-4018
"123 Main St, Springfield, IL",32,jrose32@customer.com,James,Rose,555-244-5569
"123 Main St, Springfield, IL",33,jpatrick33@customer.com,James,Patrick,555-666-4228
"123 Main St, Springfield, IL",34,jjudith34@customer.com,James,Judith,555-779-8995
"123 Main St, Springfield, IL",35,jhenry35@customer.com,James,Henry,555-150-0658
"123 Main St, Springfield, IL",36,jchristina36@customer.com,James,Christina,555-589-6120
"123 Main St, Springfield, IL",37,jdouglas37@customer.com,James,Douglas,555-318-4273
"123 Main St, Springfield, IL",38,jmaria38@customer.com,James,Maria,555-479-9998
"123 Main St, Springfield, IL",39,jharold39@customer.com,James,Harold,555-535-1841
"123 Main St, Springfield, IL",40,jnicole40@customer.com,James,Nicole,555-386-3801
"123 Main St, Springfield, IL",41,jalexander41@customer.com,James,Alexander,555-334-9898
"123 Main St, Springfield, IL",42,jmegan42@customer.com,James,Megan,555-923-9373
